,countriesAndTerritories,rankpunteggiocasi,countriesAndTerritories,countriesAndTerritories,casimed,countriesAndTerritories,tendenzacasi,index,2020-05-24 00:00:00,countriesAndTerritories,casitot
133,Nicaragua,105.0,Nicaragua,Nicaragua,6.5,Nicaragua,2,Nicaragua,0,Nicaragua,279
134,Niger,131.0,Niger,Niger,0.3,Niger,2,Niger,6,Niger,943
135,Nigeria,76.0,Nigeria,Nigeria,1.3,Nigeria,2,Nigeria,265,Nigeria,7526
136,North_Macedonia,73.0,North_Macedonia,North_Macedonia,11.9,North_Macedonia,2,North_Macedonia,20,North_Macedonia,1941
137,Northern_Mariana_Islands,156.0,Northern_Mariana_Islands,Northern_Mariana_Islands,2.9,Northern_Mariana_Islands,0,Northern_Mariana_Islands,0,Northern_Mariana_Islands,22
138,Norway,75.0,Norway,Norway,3.5,Norway,2,Norway,0,Norway,8309
139,Oman,33.0,Oman,Oman,71.5,Oman,2,Oman,463,Oman,7257
140,Pakistan,24.0,Pakistan,Pakistan,9.8,Pakistan,2,Pakistan,2164,Pakistan,54601
141,Palestine,136.0,Palestine,Palestine,1.5,Palestine,2,Palestine,0,Palestine,602
142,Panama,39.0,Panama,Panama,38.7,Panama,2,Panama,310,Panama,10577
143,Papua_New_Guinea,183.0,Papua_New_Guinea,Papua_New_Guinea,0.0,Papua_New_Guinea,1,Papua_New_Guinea,0,Papua_New_Guinea,8
144,Paraguay,125.0,Paraguay,Paraguay,1.5,Paraguay,0,Paraguay,12,Paraguay,850
145,Peru,4.0,Peru,Peru,122.3,Peru,0,Peru,4056,Peru,115754
146,Philippines,64.0,Philippines,Philippines,2.0,Philippines,0,Philippines,180,Philippines,13777
147,Poland,34.0,Poland,Poland,10.5,Poland,2,Poland,312,Poland,20931
148,Portugal,26.0,Portugal,Portugal,23.3,Portugal,2,Portugal,271,Portugal,30471
149,Puerto_Rico,51.0,Puerto_Rico,Puerto_Rico,23.7,Puerto_Rico,2,Puerto_Rico,70,Puerto_Rico,3100
150,Qatar,14.0,Qatar,Qatar,575.7,Qatar,2,Qatar,1732,Qatar,42213
151,Romania,45.0,Romania,Romania,8.4,Romania,0,Romania,145,Romania,17857
152,Russia,3.0,Russia,Russia,62.4,Russia,0,Russia,9434,Russia,335882
153,Rwanda,149.0,Rwanda,Rwanda,0.4,Rwanda,1,Rwanda,4,Rwanda,325
154,Saint_Lucia,195.0,Saint_Lucia,Saint_Lucia,0.0,Saint_Lucia,1,Saint_Lucia,0,Saint_Lucia,18
155,Saint_Vincent_and_the_Grenadines,167.0,Saint_Vincent_and_the_Grenadines,Saint_Vincent_and_the_Grenadines,1.5,Saint_Vincent_and_the_Grenadines,1,Saint_Vincent_and_the_Grenadines,0,Saint_Vincent_and_the_Grenadines,18
156,San_Marino,74.0,San_Marino,San_Marino,54.3,San_Marino,2,San_Marino,4,San_Marino,665
157,Sao_Tome_and_Principe,80.0,Sao_Tome_and_Principe,Sao_Tome_and_Principe,44.2,Sao_Tome_and_Principe,2,Sao_Tome_and_Principe,40,Sao_Tome_and_Principe,291
158,Saudi_Arabia,6.0,Saudi_Arabia,Saudi_Arabia,76.2,Saudi_Arabia,1,Saudi_Arabia,2442,Saudi_Arabia,70161
159,Senegal,72.0,Senegal,Senegal,5.2,Senegal,0,Senegal,67,Senegal,2976
160,Serbia,48.0,Serbia,Serbia,11.5,Serbia,2,Serbia,68,Serbia,11092
161,Seychelles,197.0,Seychelles,Seychelles,0.0,Seychelles,1,Seychelles,0,Seychelles,11
162,Sierra_Leone,114.0,Sierra_Leone,Sierra_Leone,2.5,Sierra_Leone,0,Sierra_Leone,15,Sierra_Leone,621
163,Singapore,18.0,Singapore,Singapore,89.6,Singapore,1,Singapore,642,Singapore,31068
164,Sint_Maarten,151.0,Sint_Maarten,Sint_Maarten,4.0,Sint_Maarten,2,Sint_Maarten,0,Sint_Maarten,78
165,Slovakia,141.0,Slovakia,Slovakia,0.3,Slovakia,0,Slovakia,1,Slovakia,1504
166,Slovenia,132.0,Slovenia,Slovenia,1.0,Slovenia,2,Slovenia,0,Slovenia,1478
167,Somalia,100.0,Somalia,Somalia,1.9,Somalia,0,Somalia,0,Somalia,1594
168,South_Africa,21.0,South_Africa,South_Africa,16.8,South_Africa,2,South_Africa,1218,South_Africa,21343
169,South_Korea,89.0,South_Korea,South_Korea,0.4,South_Korea,2,South_Korea,25,South_Korea,11190
170,South_Sudan,102.0,South_Sudan,South_Sudan,4.3,South_Sudan,2,South_Sudan,224,South_Sudan,563
171,Spain,15.0,Spain,Spain,13.1,Spain,2,Spain,0,Spain,235290
172,Sri_Lanka,120.0,Sri_Lanka,Sri_Lanka,0.8,Sri_Lanka,0,Sri_Lanka,21,Sri_Lanka,1089
173,Sudan,61.0,Sudan,Sudan,5.3,Sudan,2,Sudan,250,Sudan,3628
174,Suriname,174.0,Suriname,Suriname,0.3,Suriname,1,Suriname,0,Suriname,11
175,Sweden,17.0,Sweden,Sweden,49.8,Sweden,2,Sweden,379,Sweden,33188
176,Switzerland,70.0,Switzerland,Switzerland,2.7,Switzerland,0,Switzerland,18,Switzerland,30642
177,Syria,161.0,Syria,Syria,0.1,Syria,1,Syria,11,Syria,70
178,Taiwan,162.0,Taiwan,Taiwan,0.0,Taiwan,1,Taiwan,0,Taiwan,441
179,Tajikistan,50.0,Tajikistan,Tajikistan,18.8,Tajikistan,1,Tajikistan,201,Tajikistan,2551
180,Thailand,142.0,Thailand,Thailand,0.0,Thailand,1,Thailand,0,Thailand,3040
181,Timor_Leste,186.0,Timor_Leste,Timor_Leste,0.0,Timor_Leste,1,Timor_Leste,0,Timor_Leste,24
182,Togo,135.0,Togo,Togo,1.5,Togo,0,Togo,10,Togo,373
183,Trinidad_and_Tobago,180.0,Trinidad_and_Tobago,Trinidad_and_Tobago,0.0,Trinidad_and_Tobago,1,Trinidad_and_Tobago,0,Trinidad_and_Tobago,116
184,Tunisia,139.0,Tunisia,Tunisia,0.2,Tunisia,1,Tunisia,0,Tunisia,1048
185,Turkey,13.0,Turkey,Turkey,12.7,Turkey,0,Turkey,1186,Turkey,155686
186,Uganda,146.0,Uganda,Uganda,0.3,Uganda,0,Uganda,48,Uganda,312
187,Ukraine,41.0,Ukraine,Ukraine,8.5,Ukraine,0,Ukraine,432,Ukraine,20580
188,United_Arab_Emirates,12.0,United_Arab_Emirates,United_Arab_Emirates,92.5,United_Arab_Emirates,2,United_Arab_Emirates,812,United_Arab_Emirates,28704
189,United_Kingdom,7.0,United_Kingdom,United_Kingdom,26.3,United_Kingdom,0,United_Kingdom,0,United_Kingdom,254195
190,United_Republic_of_Tanzania,157.0,United_Republic_of_Tanzania,United_Republic_of_Tanzania,0.0,United_Republic_of_Tanzania,1,United_Republic_of_Tanzania,0,United_Republic_of_Tanzania,509
191,United_States_of_America,2.0,United_States_of_America,United_States_of_America,69.2,United_States_of_America,1,United_States_of_America,21236,United_States_of_America,1622670
192,United_States_Virgin_Islands,188.0,United_States_Virgin_Islands,United_States_Virgin_Islands,0.0,United_States_Virgin_Islands,1,United_States_Virgin_Islands,0,United_States_Virgin_Islands,69
193,Uruguay,137.0,Uruguay,Uruguay,1.4,Uruguay,2,Uruguay,11,Uruguay,764
194,Uzbekistan,86.0,Uzbekistan,Uzbekistan,1.6,Uzbekistan,2,Uzbekistan,0,Uzbekistan,3078
195,Venezuela,99.0,Venezuela,Venezuela,2.3,Venezuela,2,Venezuela,0,Venezuela,944
196,Vietnam,158.0,Vietnam,Vietnam,0.0,Vietnam,1,Vietnam,0,Vietnam,324
197,Yemen,145.0,Yemen,Yemen,0.5,Yemen,1,Yemen,7,Yemen,212
198,Zambia,111.0,Zambia,Zambia,1.6,Zambia,2,Zambia,0,Zambia,920
199,Zimbabwe,164.0,Zimbabwe,Zimbabwe,0.1,Zimbabwe,1,Zimbabwe,0,Zimbabwe,56
